#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
21.0%,4200,8.399999999999475,-1158.1438932805377,872.9445584677986,-285.19933481273904,276.6563843706319,452
22.0%,4400,8.799999999999608,-1283.8633609926896,931.1294999090726,-352.73386108361706,295.0965423025558,451
23.0%,4600,9.199999999999742,-1251.9146628028038,937.1433506357001,-314.7713121671037,297.002471129346,452
24.0%,4800,9.599999999999875,-1208.6690567341052,914.101741280524,-294.56731545358116,289.70005052033014,456
25.0%,5000,10.000000000000009,-1258.156969510063,939.1605756973727,-318.99639381269026,297.6417765544279,460
26.0%,5200,10.400000000000142,-1216.1529966878272,912.258184919535,-303.89481176829224,289.1157847359029,464
27.0%,5400,10.800000000000276,-1318.4995854827166,960.4191163773006,-358.080469105416,304.3791013300446,467
28.0%,5600,11.20000000000041,-1227.5796601910972,877.4777073325317,-350.1019528585655,278.09304442259685,468
29.0%,5800,11.600000000000543,-1228.9724405712373,826.8450029375313,-402.127437633706,262.04636563532705,468
30.0%,6000,12.000000000000677,-1322.4491983219439,909.4692986508754,-412.97989967106844,288.2319219704799,469
31.0%,6200,12.40000000000081,-1269.4001076719424,854.1214755820947,-415.27863208984763,270.6909126767503,469
32.0%,6400,12.800000000000944,-1280.3287147195238,898.3354350941496,-381.99327962537416,284.7033422848626,469
33.0%,6600,13.200000000001078,-1242.6059992312457,926.7246095497351,-315.88138968151065,293.7005303467652,469
34.0%,6800,13.600000000001211,-1269.670075807261,999.1605003338777,-270.50957547338317,316.6571447716046,469
35.0%,7000,14.000000000001345,-1186.0387665479902,949.3651586845489,-236.67360786344136,300.875845666672,469
36.0%,7200,14.400000000001478,-1171.8230552067157,923.0431534078602,-248.77990179885546,292.5337914793876,469
37.0%,7400,14.800000000001612,-1197.200197476423,955.6931872586383,-241.50701021778468,302.88134474278104,470
38.0%,7600,15.200000000001745,-1159.5093334056778,951.502450548762,-208.0068828569158,301.5532030472321,470
39.0%,7800,15.600000000001879,-1209.7447184520142,979.9545283363664,-229.79019011564787,310.57032663451537,470
40.0%,8000,16.00000000000201,-1173.3123553124747,933.3794855825021,-239.9328697299726,295.8096149659438,470
41.0%,8200,16.40000000000179,-1239.8039275161975,872.3802578377705,-367.423669678427,276.47754440824565,460
42.0%,8400,16.800000000001567,-1283.4039496139258,970.9017279156996,-312.5022216982262,307.70128414090436,460
43.0%,8600,17.200000000001346,-1271.8159536275016,997.7786138956238,-274.03733973187775,316.21919289721615,460
44.0%,8800,17.600000000001124,-1218.734780419866,913.1737334089374,-305.5610470109285,289.40594329447003,461
45.0%,9000,18.000000000000902,-1195.775045054223,914.3138314708397,-281.46121358338337,289.7672668224928,461
46.0%,9200,18.40000000000068,-1209.7767033359023,922.603338754111,-287.17336458179136,292.3944040111696,461
47.0%,9400,18.80000000000046,-1219.9265170817157,901.9373856254927,-317.98913145622305,285.8448839795978,461
48.0%,9600,19.200000000000237,-1211.566331595517,875.0267204789244,-336.5396111165927,277.31626982164266,462
49.0%,9800,19.600000000000016,-1240.4314174401366,908.3237785473647,-332.1076388927719,287.8688800716709,462
50.0%,10000,19.999999999999794,-1228.0907597700777,927.8905854058414,-300.2001743642363,294.0700551481799,462
51.0%,10200,20.399999999999572,-1281.4566109722289,937.3754572617632,-344.0811537104656,297.07603110441227,463
52.0%,10400,20.79999999999935,-1224.168803686658,868.8635687140146,-355.30523497264346,275.3630240317838,463
53.0%,10600,21.19999999999913,-1247.698938241453,849.4814828057738,-398.2174554356793,269.2203913102435,464
54.0%,10800,21.599999999998907,-1280.0520120684537,887.987704908307,-392.06430716014665,281.4239065041036,464
55.0%,11000,21.999999999998685,-1220.9769358877807,920.5816902711317,-300.39524561664894,291.75369670124485,465
56.0%,11200,22.399999999998464,-1188.622458247968,901.3720572789604,-287.2504009690077,285.66571831000664,465
57.0%,11400,22.799999999998242,-1267.1990433678507,928.6280540679483,-338.5709892999024,294.3037760777235,464
58.0%,11600,23.19999999999802,-1265.4365436347762,910.9337069750206,-354.50283665975553,288.69602694515476,454
59.0%,11800,23.5999999999978,-1210.1632085762844,842.3596786824112,-367.80352989387325,266.96332634563265,454
