run,step,time_ns_within_run,potential_energy_kj_mol,temperature_k
run_001,470000,1.88,-399634.66491252556,302.52039088666766
run_001,480000,1.92,-399725.3256975147,301.3444608911836
run_001,490000,1.96,-400830.05392401177,301.2171746565601
run_001,500000,2.0,-400325.0414889783,303.6234505000549
run_001,510000,2.04,-400679.0358706841,300.43052729838286
run_001,520000,2.08,-398748.9067566856,300.44311112881724
run_001,530000,2.12,-399223.5188823284,301.85326359161166
run_001,540000,2.16,-400359.2955554386,302.14174395541824
run_001,550000,2.2,-400785.2160755864,299.5054314794228
run_001,560000,2.24,-401055.635563147,301.72123867607144
run_001,570000,2.28,-400810.02970966604,303.07126254323396
run_001,580000,2.32,-401220.4863145163,299.78248635701914
run_001,590000,2.36,-400485.6534780094,303.69045018301597
run_001,600000,2.4,-399810.21578561864,299.84445777300755
run_001,610000,2.44,-398549.9086947995,301.8540270457594
run_001,620000,2.48,-400949.6438982126,298.4145081543833
run_001,630000,2.52,-399308.87335454347,300.00578353221607
run_001,640000,2.56,-399928.83072196995,300.32127437724785
run_001,650000,2.6,-399997.6036790712,301.66932379402846
run_001,660000,2.64,-400833.12509394344,301.9073108800671
run_001,670000,2.68,-400331.53060410195,300.3228539375534
run_001,680000,2.72,-400366.8337872233,301.83170259344064
run_001,690000,2.76,-400415.0673044319,303.73520439167373
run_001,700000,2.8,-400059.666780632,300.0927646530426
run_001,710000,2.84,-400121.4996471759,303.23566844503836
run_001,720000,2.88,-400350.8032161235,300.75602202535
run_001,730000,2.92,-398958.3961713987,302.5869956795524
run_001,740000,2.96,-399660.9846844217,301.1616531118194
run_001,750000,3.0,-399269.3793788834,300.5761890845612
run_001,760000,3.04,-400851.9728293787,302.1997927966479
run_001,770000,3.08,-400783.6083348412,302.0488131574408
run_001,780000,3.12,-399997.7922504365,304.9562834858919
run_001,790000,3.16,-399815.6980744621,296.88762618500755
run_001,800000,3.2,-400319.7933473734,302.65304762633014
run_001,810000,3.24,-400067.34154393454,301.17036701950514
run_001,820000,3.28,-400741.54970097146,302.70796367295367
run_001,830000,3.32,-400391.54361549113,303.7128272873449
run_001,840000,3.36,-398668.6810833467,299.84735363356776
run_001,850000,3.4,-400670.55630442686,303.3931769335084
run_001,860000,3.44,-400009.47549402574,302.491827171142
run_001,870000,3.48,-399754.2783882823,304.9296678947431
run_001,880000,3.52,-400124.144239597,304.10974446612863
run_001,890000,3.56,-400963.0657780161,302.4619734813668
run_001,900000,3.6,-399194.8749473898,301.2075656647012
run_001,910000,3.64,-399535.2638567912,301.27653979804427
run_001,920000,3.68,-401041.2048259948,300.36160581704996
run_001,930000,3.72,-399875.6629294106,302.8197702165827
run_001,940000,3.76,-400838.8203079414,301.60448284348496
run_001,950000,3.8,-400504.4973014991,301.64073375249774
run_001,960000,3.84,-399414.75412346236,300.3989360922715
run_001,970000,3.88,-399404.02926993044,300.00209789150307
run_001,980000,3.92,-401127.3796172661,302.0795356053841
run_001,990000,3.96,-400597.3572132436,298.5511137948097
run_001,1000000,4.0,-399500.5038638159,299.701007371257
run_001,1010000,4.04,-400077.0116704842,301.5868444200728
run_001,1020000,4.08,-400962.84865930025,301.424018078574
run_001,1030000,4.12,-400053.7002492058,299.7530538833254
run_001,1040000,4.16,-400271.36476008897,300.7725547565482
run_001,1050000,4.2,-400346.4557630711,299.10051119509086
run_001,1060000,4.24,-399922.07465786184,303.20444580299835
run_001,1070000,4.28,-400198.74664009083,301.6577666777927
run_001,1080000,4.32,-400146.7473988207,302.63740997930506
run_001,1090000,4.36,-400400.16815410135,300.96963123067275
run_001,1100000,4.4,-400221.118752287,298.26463420739015
run_001,1110000,4.44,-399442.2372211381,304.0683599861228
run_001,1120000,4.48,-399264.37693495746,302.5030157233064
run_001,1130000,4.52,-400104.2478427498,302.2754010832743
