run,step,time_ns_within_run,potential_energy_kj_mol,temperature_k
run_001,810000,3.24,-404507.29439232335,305.13183427967846
run_001,820000,3.28,-405282.95914223185,300.17264928522064
run_001,830000,3.32,-404949.1274863619,301.8125005802504
run_001,840000,3.36,-404917.695017064,302.90711756087137
run_001,850000,3.4,-404673.6628240261,303.9822451150945
run_001,860000,3.44,-404048.97377742245,301.6621163048053
run_001,870000,3.48,-403562.0484512185,302.5350704116959
run_001,880000,3.52,-404064.1137591996,305.3437654853413
run_001,890000,3.56,-404104.28102231957,302.7513065107398
run_001,900000,3.6,-404521.06833453244,301.51421060433717
run_001,910000,3.64,-403981.750487264,298.7197869045066
run_001,920000,3.68,-403978.4274551431,301.5040875823259
run_001,930000,3.72,-403942.18265824276,300.67739151158446
run_001,940000,3.76,-404635.2751340538,303.7358225818573
run_001,950000,3.8,-404539.11012211465,302.04637369702516
run_001,960000,3.84,-404789.36473971093,301.2873035877608
run_001,970000,3.88,-404503.2701290648,301.7495447758352
run_001,980000,3.92,-405310.6217933672,302.3322968883164
run_001,990000,3.96,-404461.3415912613,302.58521589701957
run_001,1000000,4.0,-402904.5818425631,302.552655248901
run_001,1010000,4.04,-404605.2154300378,302.1587444594023
run_001,1020000,4.08,-403704.1299933167,301.08361690517927
run_001,1030000,4.12,-404696.71842772746,298.41171307999997
run_001,1040000,4.16,-404433.6393356789,301.3007400731623
run_001,1050000,4.2,-403716.21185803367,302.6371094299585
run_001,1060000,4.24,-403667.903157949,301.29620036741494
run_001,1070000,4.28,-404215.416453416,299.79358385532095
run_001,1080000,4.32,-404147.3123103974,300.6831835499517
run_001,1090000,4.36,-404146.7791861736,300.22302958291056
run_001,1100000,4.4,-404411.8642456676,301.42370348228314
run_001,1110000,4.44,-405584.65886309184,299.24443600147487
run_001,1120000,4.48,-404872.1554026839,299.3048871406502
run_001,1130000,4.52,-404135.56910806475,302.9799093944057
