frame,time_ns,n_hydrogen_bonds
525,21.0,203
526,21.04,201
527,21.080000000000002,194
528,21.12,188
529,21.16,197
530,21.2,195
531,21.240000000000002,203
532,21.28,203
533,21.32,187
534,21.36,203
535,21.400000000000002,204
536,21.44,199
537,21.48,203
538,21.52,199
539,21.56,201
540,21.6,203
541,21.64,203
542,21.68,190
543,21.72,209
544,21.76,200
545,21.8,191
546,21.84,188
547,21.88,193
548,21.92,182
549,21.96,202
550,22.0,210
551,22.04,215
552,22.080000000000002,210
553,22.12,198
554,22.16,199
555,22.2,196
556,22.240000000000002,198
557,22.28,205
558,22.32,192
559,22.36,203
560,22.400000000000002,210
561,22.44,195
562,22.48,212
563,22.52,200
564,22.56,200
565,22.6,201
566,22.64,200
567,22.68,201
568,22.72,191
569,22.76,198
570,22.8,204
571,22.84,200
572,22.88,204
573,22.92,212
574,22.96,207
575,23.0,209
576,23.04,190
577,23.080000000000002,205
578,23.12,201
579,23.16,198
580,23.2,198
581,23.240000000000002,186
582,23.28,180
583,23.32,202
584,23.36,197
585,23.400000000000002,194
586,23.44,204
587,23.48,201
588,23.52,190
589,23.56,200
590,23.6,198
591,23.64,205
592,23.68,202
593,23.72,202
594,23.76,199
595,23.8,200
596,23.84,201
597,23.88,208
598,23.92,200
599,23.96,204
600,24.0,202
601,24.04,202
602,24.080000000000002,203
603,24.12,202
604,24.16,194
605,24.2,187
606,24.240000000000002,187
607,24.28,197
608,24.32,192
609,24.36,199
610,24.400000000000002,205
611,24.44,200
612,24.48,203
613,24.52,213
614,24.560000000000002,192
615,24.6,204
616,24.64,200
617,24.68,199
618,24.72,203
619,24.76,200
620,24.8,207
621,24.84,205
622,24.88,200
623,24.92,205
624,24.96,197
625,25.0,204
626,25.04,193
627,25.080000000000002,190
628,25.12,202
629,25.16,196
630,25.2,203
631,25.240000000000002,200
632,25.28,212
633,25.32,206
634,25.36,188
635,25.400000000000002,195
636,25.44,188
637,25.48,201
638,25.52,191
639,25.560000000000002,213
640,25.6,202
641,25.64,203
642,25.68,208
643,25.72,200
644,25.76,190
645,25.8,197
646,25.84,202
647,25.88,207
648,25.92,190
649,25.96,206
650,26.0,208
651,26.04,199
652,26.080000000000002,209
653,26.12,202
654,26.16,205
655,26.2,217
656,26.240000000000002,209
657,26.28,194
658,26.32,197
659,26.36,208
660,26.400000000000002,194
661,26.44,208
662,26.48,204
663,26.52,196
664,26.560000000000002,204
665,26.6,187
666,26.64,202
667,26.68,198
668,26.72,208
669,26.76,194
670,26.8,210
671,26.84,200
672,26.88,190
673,26.92,212
674,26.96,199
675,27.0,185
676,27.04,198
677,27.080000000000002,190
678,27.12,208
679,27.16,194
680,27.2,196
681,27.240000000000002,190
682,27.28,208
683,27.32,200
684,27.36,201
685,27.400000000000002,193
686,27.44,206
687,27.48,209
688,27.52,210
689,27.560000000000002,200
690,27.6,190
691,27.64,204
692,27.68,202
693,27.72,197
694,27.76,198
695,27.8,191
696,27.84,200
697,27.88,203
698,27.92,208
699,27.96,210
700,28.0,199
701,28.04,193
702,28.080000000000002,198
703,28.12,194
704,28.16,206
705,28.2,207
706,28.240000000000002,200
707,28.28,188
708,28.32,195
709,28.36,197
710,28.400000000000002,198
711,28.44,197
712,28.48,189
713,28.52,185
714,28.560000000000002,197
715,28.6,205
716,28.64,211
717,28.68,200
718,28.72,207
719,28.76,182
720,28.8,200
721,28.84,190
722,28.88,195
723,28.92,190
724,28.96,188
725,29.0,196
726,29.04,196
727,29.080000000000002,202
728,29.12,208
729,29.16,197
730,29.2,184
731,29.240000000000002,200
732,29.28,190
733,29.32,199
734,29.36,209
735,29.400000000000002,208
736,29.44,205
737,29.48,199
738,29.52,197
739,29.560000000000002,202
740,29.6,214
741,29.64,200
742,29.68,199
743,29.72,196
744,29.76,198
745,29.8,191
746,29.84,191
747,29.88,195
748,29.92,203
749,29.96,198
750,30.0,198
751,30.04,199
752,30.080000000000002,194
753,30.12,196
754,30.16,190
755,30.2,195
756,30.240000000000002,189
757,30.28,195
758,30.32,193
759,30.36,193
760,30.400000000000002,195
761,30.44,198
762,30.48,200
763,30.52,196
764,30.560000000000002,198
765,30.6,196
766,30.64,195
767,30.68,213
768,30.72,196
769,30.76,197
770,30.8,191
771,30.84,188
772,30.88,199
773,30.92,201
774,30.96,193
775,31.0,208
776,31.04,199
777,31.080000000000002,198
778,31.12,197
779,31.16,192
780,31.2,182
781,31.240000000000002,201
782,31.28,191
783,31.32,198
784,31.36,196
785,31.400000000000002,196
786,31.44,205
787,31.48,199
788,31.52,193
789,31.560000000000002,192
790,31.6,196
791,31.64,187
792,31.68,202
793,31.720000000000002,184
794,31.76,197
795,31.8,198
796,31.84,202
797,31.88,201
798,31.92,194
799,31.96,189
800,32.0,193
801,32.04,188
802,32.08,198
803,32.12,174
804,32.160000000000004,206
805,32.2,195
806,32.24,199
807,32.28,203
808,32.32,207
809,32.36,204
810,32.4,190
811,32.44,190
812,32.480000000000004,202
813,32.52,211
814,32.56,198
815,32.6,186
816,32.64,204
817,32.68,195
818,32.72,196
819,32.76,209
820,32.8,198
821,32.84,197
822,32.88,205
823,32.92,203
824,32.96,215
825,33.0,194
826,33.04,197
827,33.08,195
828,33.12,202
829,33.160000000000004,212
830,33.2,208
831,33.24,196
832,33.28,193
833,33.32,190
834,33.36,197
835,33.4,200
836,33.44,204
837,33.480000000000004,201
838,33.52,200
839,33.56,201
840,33.6,205
841,33.64,197
842,33.68,197
843,33.72,213
844,33.76,219
845,33.8,201
846,33.84,198
847,33.88,192
848,33.92,192
849,33.96,202
850,34.0,192
851,34.04,202
852,34.08,195
853,34.12,196
854,34.160000000000004,194
855,34.2,211
856,34.24,201
857,34.28,192
858,34.32,197
859,34.36,203
860,34.4,198
861,34.44,205
862,34.480000000000004,198
863,34.52,202
864,34.56,202
