step,time_ns,potential_energy_kj_mol,temperature_k
840000,3.36,-397845.69626197475,300.9156127209442
850000,3.4,-399229.40634539723,301.3130717649027
860000,3.44,-398463.4616171189,302.35781671795354
870000,3.48,-398055.10696447827,304.01945894278583
880000,3.52,-397448.4265468968,301.5297065153062
890000,3.56,-397421.2113161301,302.76101495625187
900000,3.6,-398633.94164902484,302.7467330901527
910000,3.64,-398633.58445379464,302.7265268944125
920000,3.68,-397868.21001892607,305.3972887507484
930000,3.72,-398131.13813548046,302.2923846128994
940000,3.76,-398473.41269395803,301.87850142292694
950000,3.8,-398990.94095078716,301.85059888823326
960000,3.84,-399092.5684974778,303.8898377839862
970000,3.88,-399415.6221158565,301.4075172164582
980000,3.92,-398202.85005171015,303.24342465559994
990000,3.96,-397984.5281497149,302.2863280437574
1000000,4.0,-397967.4042350473,302.8961108303895
1010000,4.04,-397768.7464682658,301.6369527505505
1020000,4.08,-397944.12129089586,300.47041521715437
1030000,4.12,-397936.5619805639,302.3136222767468
1040000,4.16,-397347.66549795656,300.3228623820304
1050000,4.2,-398229.0035438435,302.3200491164914
1060000,4.24,-398075.0665764266,304.8837234249841
1070000,4.28,-398154.9808922075,299.91210004427955
1080000,4.32,-398271.3049562196,302.19598201673034
1090000,4.36,-397743.5109892562,299.4807347922857
1100000,4.4,-398415.29935014155,302.1034143660879
1110000,4.44,-398295.8702560584,299.5386556936877
1120000,4.48,-396746.3481619479,304.4058627644676
1130000,4.52,-398473.56902302965,304.23675489069393
1140000,4.56,-397042.8120384419,302.9396440740916
1150000,4.6,-397674.11046616174,302.5386674594087
